dataset,model,accuracy,precision,recall,f1,roc_auc,cv_f1_score,val_f1_score,train_f1,val_f1,overfitting_gap,is_overfitting,best_params
adult,Random Forest,0.8627360663288807,0.857466722647975,0.8627360663288807,0.8545511574228342,0.9184568519015289,0.6555335929653092,0.852855309424813,0.8591969830705817,0.852855309424813,0.006341673645768653,False,"{'classifier__oob_score': True, 'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': True}"
adult,XGBoost,0.874251497005988,0.8699213573111844,0.874251497005988,0.870372780275155,0.9293026866965188,0.7065036960598714,0.8643102039796254,0.878415276938294,0.8643102039796254,0.014105072958668585,False,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 1.0}"
bank,Decision Tree,0.9352333333333334,0.9165584409391384,0.9352333333333334,0.9177279444841989,0.8206051490313331,0.2708489290123045,0.9179428200078007,0.9206474342253683,0.9179428200078007,0.0027046142175676247,False,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 20, 'classifier__max_features': None, 'classifier__max_depth': 5, 'classifier__criterion': 'gini'}"
bank,Logistic Regression,0.9339333333333333,0.9117110235573505,0.9339333333333333,0.9065858934467161,0.7114627879310474,0.07850172728203242,0.905452677490963,0.9064134626733067,0.905452677490963,0.0009607851823436597,False,"{'classifier__solver': 'saga', 'classifier__penalty': 'l1', 'classifier__l1_ratio': 0.1, 'classifier__C': 1.0}"
bank,Random Forest,0.9368666666666666,0.9202632903830317,0.9368666666666666,0.9196332509217914,0.8667890374082653,0.27131506108417663,0.9207961701015932,0.9418214155349646,0.9207961701015932,0.021025245433371365,False,"{'classifier__oob_score': True, 'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': True}"
bank,XGBoost,0.9363666666666667,0.9198223769179524,0.9363666666666667,0.9213669009642301,0.8665529247073421,0.30130587185824587,0.9222682787604621,0.9278281001055202,0.9222682787604621,0.005559821345058058,False,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 10, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}"
german,Decision Tree,0.715,0.6954969634128279,0.715,0.6996371481808376,0.7000000000000001,0.5422748499237898,0.6894977168949771,0.7609854630948045,0.6894977168949771,0.07148774619982745,False,"{'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 20, 'classifier__max_features': None, 'classifier__max_depth': 5, 'classifier__criterion': 'entropy'}"
german,Logistic Regression,0.76,0.7482213438735178,0.76,0.7498652291105122,0.7778571428571428,0.4698323323323323,0.6557372617921341,0.7411322527601597,0.6557372617921341,0.08539499096802561,False,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__l1_ratio': 0.5, 'classifier__C': 1.0}"
german,Random Forest,0.755,0.7416873449131514,0.755,0.7274583022155838,0.7891666666666667,0.4518587016847886,0.6643761301989151,0.8548147694756009,0.6643761301989151,0.1904386392766858,True,"{'classifier__oob_score': True, 'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10, 'classifier__bootstrap': True}"
german,XGBoost,0.75,0.74,0.75,0.7429467084639498,0.7803571428571429,0.5677735602583636,0.6894977168949771,0.8594657680962428,0.6894977168949771,0.16996805120126568,True,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 10, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}"
